"street","city","zip","state","beds","baths","sq__ft","type","sale_date","price","latitude","longitude"
"4660 CEDARWOOD WAY","SACRAMENTO","95823","CA","4","2","1310","Residential","Tue May 20 00:00:00 EDT 2008","150000","38.484834","-121.449316"
"9254 HARROGATE WAY","ELK GROVE","95758","CA","2","2","1006","Residential","Tue May 20 00:00:00 EDT 2008","152000","38.420138","-121.412179"
"6716 TAREYTON WAY","CITRUS HEIGHTS","95621","CA","3","2","1104","Residential","Tue May 20 00:00:00 EDT 2008","156000","38.693724","-121.307169"
"2028 ROBERT WAY","SACRAMENTO","95825","CA","2","1","810","Residential","Tue May 20 00:00:00 EDT 2008","156000","38.609982","-121.419263"
"9346 AIZENBERG CIR","ELK GROVE","95624","CA","2","2","1123","Residential","Tue May 20 00:00:00 EDT 2008","156000","38.41875","-121.370019"
"4524 LOCH HAVEN WAY","SACRAMENTO","95842","CA","2","1","904","Residential","Tue May 20 00:00:00 EDT 2008","157788","38.67273","-121.359645"
"7140 BLUE SPRINGS WAY","CITRUS HEIGHTS","95621","CA","3","2","1156","Residential","Tue May 20 00:00:00 EDT 2008","161653","38.720653","-121.302241"
"4631 11TH AVE","SACRAMENTO","95820","CA","2","1","1321","Residential","Tue May 20 00:00:00 EDT 2008","161829","38.541965","-121.452132"
"3228 BAGGAN CT","ANTELOPE","95843","CA","3","2","1392","Residential","Tue May 20 00:00:00 EDT 2008","165000","38.715346","-121.388163"
"8515 DARTFORD DR","SACRAMENTO","95823","CA","3","2","1439","Residential","Tue May 20 00:00:00 EDT 2008","168000","38.448288","-121.420719"
"4500 TIPPWOOD WAY","SACRAMENTO","95842","CA","3","2","1159","Residential","Tue May 20 00:00:00 EDT 2008","169000","38.69951","-121.359989"
"2460 EL ROCCO WAY","RANCHO CORDOVA","95670","CA","3","2","1671","Residential","Tue May 20 00:00:00 EDT 2008","175000","38.591477","-121.31534"
"8244 SUNBIRD WAY","SACRAMENTO","95823","CA","3","2","1740","Residential","Tue May 20 00:00:00 EDT 2008","176250","38.457654","-121.431381"
"5841 VALLEY VALE WAY","SACRAMENTO","95823","CA","3","2","1265","Residential","Tue May 20 00:00:00 EDT 2008","179000","38.461283","-121.434322"
"7863 CRESTLEIGH CT","ANTELOPE","95843","CA","2","2","1007","Residential","Tue May 20 00:00:00 EDT 2008","180000","38.710889","-121.358876"
"7129 SPRINGMONT DR","ELK GROVE","95758","CA","3","2","1716","Residential","Tue May 20 00:00:00 EDT 2008","180400","38.417649","-121.420294"
"8284 RED FOX WAY","ELK GROVE","95758","CA","4","2","1685","Residential","Tue May 20 00:00:00 EDT 2008","182000","38.417182","-121.397231"
"2219 EL CANTO CIR","RANCHO CORDOVA","95670","CA","4","2","1829","Residential","Tue May 20 00:00:00 EDT 2008","184500","38.592383","-121.318669"
"8907 GEMWOOD WAY","ELK GROVE","95758","CA","3","2","1555","Residential","Tue May 20 00:00:00 EDT 2008","185000","38.435471","-121.441173"
"5925 MALEVILLE AVE","CARMICHAEL","95608","CA","4","2","1120","Residential","Tue May 20 00:00:00 EDT 2008","189000","38.666564","-121.325717"
"7031 CANEVALLEY CIR","CITRUS HEIGHTS","95621","CA","3","2","1137","Residential","Tue May 20 00:00:00 EDT 2008","194000","38.718693","-121.303619"
"3949 WILDROSE WAY","SACRAMENTO","95826","CA","3","1","1174","Residential","Tue May 20 00:00:00 EDT 2008","195000","38.543697","-121.366683"
"4437 MITCHUM CT","ANTELOPE","95843","CA","3","2","1393","Residential","Tue May 20 00:00:00 EDT 2008","200000","38.704407","-121.36113"
"2778 KAWEAH CT","CAMERON PARK","95682","CA","3","1","0","Residential","Tue May 20 00:00:00 EDT 2008","201000","38.694052","-120.995589"
"1636 ALLENWOOD CIR","LINCOLN","95648","CA","4","2","0","Residential","Tue May 20 00:00:00 EDT 2008","202500","38.879192","-121.309477"
"8151 QUAIL RIDGE CT","SACRAMENTO","95828","CA","3","2","1289","Residential","Tue May 20 00:00:00 EDT 2008","205000","38.461296","-121.390858"
"4899 WIND CREEK DR","SACRAMENTO","95838","CA","4","2","1799","Residential","Tue May 20 00:00:00 EDT 2008","205000","38.655887","-121.446119"
"2370 BIG CANYON CREEK RD","PLACERVILLE","95667","CA","3","2","0","Residential","Tue May 20 00:00:00 EDT 2008","205000","38.74458","-120.794254"
"6049 HAMBURG WAY","SACRAMENTO","95823","CA","4","3","1953","Residential","Tue May 20 00:00:00 EDT 2008","205000","38.443253","-121.431992"
"4232 71ST ST","SACRAMENTO","95820","CA","2","1","723","Residential","Tue May 20 00:00:00 EDT 2008","207000","38.536741","-121.42115"
"3361 BOW MAR CT","CAMERON PARK","95682","CA","2","2","0","Residential","Tue May 20 00:00:00 EDT 2008","210000","38.69437","-120.996602"
"1889 COLD SPRINGS RD","PLACERVILLE","95667","CA","2","1","948","Residential","Tue May 20 00:00:00 EDT 2008","211500","38.739774","-120.860243"
"5805 HIMALAYA WAY","CITRUS HEIGHTS","95621","CA","4","2","1578","Residential","Tue May 20 00:00:00 EDT 2008","215000","38.696489","-121.328555"
"7944 SYLVAN OAK WAY","CITRUS HEIGHTS","95610","CA","3","2","1317","Residential","Tue May 20 00:00:00 EDT 2008","215000","38.710388","-121.261096"
"3139 SPOONWOOD WAY Unit 1","SACRAMENTO","95833","CA","0","0","0","Residential","Tue May 20 00:00:00 EDT 2008","215500","38.626582","-121.52151"
"6217 LEOLA WAY","SACRAMENTO","95824","CA","3","1","1360","Residential","Tue May 20 00:00:00 EDT 2008","222381","38.513066","-121.451909"
"2340 HURLEY WAY","SACRAMENTO","95825","CA","0","0","0","Condo","Tue May 20 00:00:00 EDT 2008","225000","38.588816","-121.408549"
"3035 BRUNNET LN","SACRAMENTO","95833","CA","3","2","1522","Residential","Tue May 20 00:00:00 EDT 2008","225000","38.624762","-121.522775"
"3025 EL PRADO WAY","SACRAMENTO","95825","CA","4","2","1751","Residential","Tue May 20 00:00:00 EDT 2008","225000","38.606603","-121.394147"
"9387 GRANITE FALLS CT","ELK GROVE","95624","CA","3","2","1465","Residential","Tue May 20 00:00:00 EDT 2008","225000","38.419214","-121.348533"
"9257 CALDERA WAY","SACRAMENTO","95826","CA","4","2","1605","Residential","Tue May 20 00:00:00 EDT 2008","228000","38.55821","-121.355022"
"441 ARLINGDALE CIR","RIO LINDA","95673","CA","4","2","1475","Residential","Tue May 20 00:00:00 EDT 2008","229665","38.702893","-121.454949"
"2284 LOS ROBLES RD","MEADOW VISTA","95722","CA","3","1","1216","Residential","Tue May 20 00:00:00 EDT 2008","230000","39.008159","-121.03623"
"8164 CHENIN BLANC LN","FAIR OAKS","95628","CA","2","2","1315","Residential","Tue May 20 00:00:00 EDT 2008","230000","38.665644","-121.259969"
"4620 CHAMBERLIN CIR","ELK GROVE","95757","CA","3","2","1567","Residential","Tue May 20 00:00:00 EDT 2008","230000","38.390557","-121.449805"
"5340 BIRK WAY","SACRAMENTO","95835","CA","3","2","1776","Residential","Tue May 20 00:00:00 EDT 2008","234000","38.672495","-121.515251"
"51 ANJOU CIR","SACRAMENTO","95835","CA","3","2","2187","Residential","Tue May 20 00:00:00 EDT 2008","235000","38.661658","-121.540633"
"2125 22ND AVE","SACRAMENTO","95822","CA","3","1","1291","Residential","Tue May 20 00:00:00 EDT 2008","236250","38.534596","-121.493121"
"611 BLOSSOM ROCK LN","FOLSOM","95630","CA","0","0","0","Condo","Tue May 20 00:00:00 EDT 2008","240000","38.6457","-121.1197"
"8830 ADUR RD","ELK GROVE","95624","CA","0","0","0","Residential","Tue May 20 00:00:00 EDT 2008","242000","38.43742","-121.372876"
"7344 BUTTERBALL WAY","SACRAMENTO","95842","CA","3","2","1503","Residential","Tue May 20 00:00:00 EDT 2008","245000","38.699489","-121.361828"
"8219 GWINHURST CIR","SACRAMENTO","95828","CA","4","3","2491","Residential","Tue May 20 00:00:00 EDT 2008","245000","38.459711","-121.384283"
"3240 S ST","SACRAMENTO","95816","CA","2","1","1269","Residential","Tue May 20 00:00:00 EDT 2008","245000","38.562296","-121.467489"
"221 PICASSO CIR","SACRAMENTO","95835","CA","0","0","0","Residential","Tue May 20 00:00:00 EDT 2008","250000","38.676658","-121.528128"
"5706 GREENACRES WAY","ORANGEVALE","95662","CA","3","2","1176","Residential","Tue May 20 00:00:00 EDT 2008","250000","38.669882","-121.213533"
"6900 LONICERA DR","ORANGEVALE","95662","CA","4","2","1456","Residential","Tue May 20 00:00:00 EDT 2008","250000","38.692199","-121.250975"
"419 DAWNRIDGE RD","ROSEVILLE","95678","CA","3","2","1498","Residential","Tue May 20 00:00:00 EDT 2008","250000","38.725283","-121.297953"
"5312 MARBURY WAY","ANTELOPE","95843","CA","3","2","1574","Residential","Tue May 20 00:00:00 EDT 2008","255000","38.710221","-121.341651"
"6344 BONHAM CIR","CITRUS HEIGHTS","95610","CA","5","4","2085","Multi-Family","Tue May 20 00:00:00 EDT 2008","256054","38.682358","-121.272876"
"8207 YORKTON WAY","SACRAMENTO","95829","CA","3","2","2170","Residential","Tue May 20 00:00:00 EDT 2008","257729","38.45967","-121.360461"
"7922 MANSELL WAY","ELK GROVE","95758","CA","4","2","1595","Residential","Tue May 20 00:00:00 EDT 2008","260000","38.409634","-121.410787"
"5712 MELBURY CIR","ANTELOPE","95843","CA","3","2","1567","Residential","Tue May 20 00:00:00 EDT 2008","261000","38.705849","-121.334701"
"632 NEWBRIDGE LN","LINCOLN","95648","CA","4","2","0","Residential","Tue May 20 00:00:00 EDT 2008","261800","38.879084","-121.298586"
"1570 GLIDDEN AVE","SACRAMENTO","95822","CA","4","2","1253","Residential","Tue May 20 00:00:00 EDT 2008","264469","38.482704","-121.500433"
"8108 FILIFERA WAY","ANTELOPE","95843","CA","4","3","1768","Residential","Tue May 20 00:00:00 EDT 2008","265000","38.717042","-121.35468"
"230 BANKSIDE WAY","SACRAMENTO","95835","CA","0","0","0","Residential","Tue May 20 00:00:00 EDT 2008","270000","38.676937","-121.529244"
"5342 CALABRIA WAY","SACRAMENTO","95835","CA","4","3","2030","Residential","Tue May 20 00:00:00 EDT 2008","270000","38.671807","-121.498274"
"47 NAPONEE CT","SACRAMENTO","95835","CA","3","2","1531","Residential","Tue May 20 00:00:00 EDT 2008","270000","38.665704","-121.529096"
"4236 ADRIATIC SEA WAY","SACRAMENTO","95834","CA","0","0","0","Residential","Tue May 20 00:00:00 EDT 2008","270000","38.647961","-121.543162"
"8864 REMBRANT CT","ELK GROVE","95624","CA","4","3","1653","Residential","Tue May 20 00:00:00 EDT 2008","275000","38.435288","-121.375703"
"9455 SEA CLIFF WAY","ELK GROVE","95758","CA","4","2","2056","Residential","Tue May 20 00:00:00 EDT 2008","275000","38.411522","-121.481406"
"9720 LITTLE HARBOR WAY","ELK GROVE","95624","CA","4","3","2494","Residential","Tue May 20 00:00:00 EDT 2008","280000","38.404934","-121.352405"
"8806 PHOENIX AVE","FAIR OAKS","95628","CA","3","2","1450","Residential","Tue May 20 00:00:00 EDT 2008","286013","38.660322","-121.230101"
"3578 LOGGERHEAD WAY","SACRAMENTO","95834","CA","4","2","2169","Residential","Tue May 20 00:00:00 EDT 2008","292000","38.633028","-121.526755"
"1416 LOCKHART WAY","ROSEVILLE","95747","CA","3","2","1440","Residential","Tue May 20 00:00:00 EDT 2008","292000","38.752399","-121.330328"
"5413 BUENA VENTURA WAY","FAIR OAKS","95628","CA","3","2","1527","Residential","Tue May 20 00:00:00 EDT 2008","293993","38.664552","-121.255937"
"37 WHITE BIRCH CT","ROSEVILLE","95678","CA","3","2","1401","Residential","Tue May 20 00:00:00 EDT 2008","294000","38.776327","-121.284514"
"405 MARLIN SPIKE WAY","SACRAMENTO","95838","CA","3","2","1411","Residential","Tue May 20 00:00:00 EDT 2008","296769","38.65783","-121.456842"
"1102 CHESLEY LN","LINCOLN","95648","CA","4","4","0","Residential","Tue May 20 00:00:00 EDT 2008","297500","38.864864","-121.313988"
"11281 STANFORD COURT LN Unit 604","GOLD RIVER","95670","CA","0","0","0","Condo","Tue May 20 00:00:00 EDT 2008","300000","38.625289","-121.260286"
"7320 6TH ST","RIO LINDA","95673","CA","3","1","1284","Residential","Tue May 20 00:00:00 EDT 2008","300000","38.700553","-121.452223"
"993 MANTON CT","GALT","95632","CA","4","3","2307","Residential","Tue May 20 00:00:00 EDT 2008","300000","38.272942","-121.289148"
"4487 PANORAMA DR","PLACERVILLE","95667","CA","3","2","1329","Residential","Tue May 20 00:00:00 EDT 2008","300000","38.694559","-120.848157"
"5651 OVERLEAF WAY","SACRAMENTO","95835","CA","4","2","1910","Residential","Tue May 20 00:00:00 EDT 2008","300500","38.677454","-121.494791"
"2015 PROMONTORY POINT LN","GOLD RIVER","95670","CA","3","2","1981","Residential","Tue May 20 00:00:00 EDT 2008","305000","38.628732","-121.261149"
"3224 PARKHAM DR","ROSEVILLE","95747","CA","0","0","0","Residential","Tue May 20 00:00:00 EDT 2008","306500","38.772771","-121.364877"
"15 VANESSA PL","SACRAMENTO","95835","CA","0","0","0","Residential","Tue May 20 00:00:00 EDT 2008","312500","38.668692","-121.54549"
"1312 RENISON LN","LINCOLN","95648","CA","5","3","0","Residential","Tue May 20 00:00:00 EDT 2008","315000","38.866409","-121.308485"
"8 RIVER RAFT CT","SACRAMENTO","95823","CA","4","2","2205","Residential","Tue May 20 00:00:00 EDT 2008","319789","38.447353","-121.434969"
"2251 LAMPLIGHT LN","LINCOLN","95648","CA","2","2","1449","Residential","Tue May 20 00:00:00 EDT 2008","330000","38.849924","-121.275729"
"106 FARHAM DR","FOLSOM","95630","CA","3","2","1258","Residential","Tue May 20 00:00:00 EDT 2008","330000","38.667834","-121.168578"
"5405 NECTAR CIR","ELK GROVE","95757","CA","3","2","2575","Residential","Tue May 20 00:00:00 EDT 2008","331000","38.387014","-121.440967"
"5411 10TH AVE","SACRAMENTO","95820","CA","2","1","539","Residential","Tue May 20 00:00:00 EDT 2008","334000","38.542727","-121.442449"
"3512 RAINSONG CIR","RANCHO CORDOVA","95670","CA","4","3","2208","Residential","Tue May 20 00:00:00 EDT 2008","336000","38.573488","-121.282809"
"1106 55TH ST","SACRAMENTO","95819","CA","3","1","1108","Residential","Tue May 20 00:00:00 EDT 2008","339000","38.563805","-121.436395"
"411 ILLSLEY WAY","FOLSOM","95630","CA","4","2","1595","Residential","Tue May 20 00:00:00 EDT 2008","339000","38.652002","-121.129504"
"796 BUTTERCUP CIR","GALT","95632","CA","4","2","2159","Residential","Tue May 20 00:00:00 EDT 2008","345000","38.279581","-121.300828"
"1230 SANDRA CIR","PLACERVILLE","95667","CA","4","3","2295","Residential","Tue May 20 00:00:00 EDT 2008","350000","38.738141","-120.784145"
"318 ANACAPA DR","ROSEVILLE","95678","CA","3","2","1838","Residential","Tue May 20 00:00:00 EDT 2008","356000","38.782094","-121.297133"
